Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,28734
Ponorogo,23423
Trenggalek,26634
Tulungagung,37725
Blitar,31388
Kediri,26152
Malang,39780
Lumajang,31293
Jember,31498
Banyuwangi,51788
Bondowoso,25584
Situbondo,29578
Probolinggo,29094
Pasuruan,89581
Sidoarjo,90618
Mojokerto,73651
Jombang,32005
Nganjuk,25269
Madiun,27724
Magetan,29746
Ngawi,24408
Bojonegoro,62446
Tuban,55401
Lamongan,33109
Gresik,105676
Bangkalan,24978
Sampang,20191
Pamekasan,19331
Sumenep,30569
Kota Kediri,483982
Kota Blitar,47841
Kota Malang,83528
Kota Probolinggo,47804
Kota Pasuruan,41325
Kota Mojokerto,52536
Kota Madiun,79654
Kota Surabaya,200359
Kota Batu,81461
,
Keterangan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
