Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,33149
Ponorogo,26314
Trenggalek,30681
Tulungagung,43297
Blitar,35812
Kediri,30193
Malang,47272
Lumajang,35178
Jember,36837
Banyuwangi,58086
Bondowoso,31432
Situbondo,36190
Probolinggo,36006
Pasuruan,113683
Sidoarjo,127382
Mojokerto,91112
Jombang,36991
Nganjuk,29917
Madiun,31588
Magetan,33627
Ngawi,27619
Bojonegoro,74242
Tuban,67176
Lamongan,35726
Gresik,130527
Bangkalan,25408
Sampang,23978
Pamekasan,23842
Sumenep,37474
Kota Kediri,541068
Kota Blitar,55523
Kota Malang,107542
Kota Probolinggo,57885
Kota Pasuruan,48058
Kota Mojokerto,59061
Kota Madiun,86285
Kota Surabaya,245685
Kota Batu,93214
,
Keterangan,
 Perbedaan antara jumlah PDRB 34 Provinsi dan,
PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.,
