Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,35096 (*)
Ponorogo,28088 (*)
Trenggalek,32726 (*)
Tulungagung,46009 (*)
Blitar,37811 (*)
Kediri,32339 (*)
Malang,50593 (*)
Lumajang,37579 (*)
Jember,39464 (*)
Banyuwangi,62086 (*)
Bondowoso,33501 (*)
Situbondo,38677 (*)
Probolinggo,38537 (*)
Pasuruan,121689 (*)
Sidoarjo,136721 (*)
Mojokerto,98011 (*)
Jombang,39553 (*)
Nganjuk,32047 (*)
Madiun,33712 (*)
Magetan,35853 (*)
Ngawi,29347 (*)
Bojonegoro,76808 (*)
Tuban,71099 (*)
Lamongan,37788 (*)
Gresik,138271 (*)
Bangkalan,26066 (*)
Sampang,24484 (*)
Pamekasan,25424 (*)
Sumenep,39215 (*)
Kota Kediri,565841 (*)
Kota Blitar,59326 (*)
Kota Malang,114722 (*)
Kota Probolinggo,61614 (*)
Kota Pasuruan,51087 (*)
Kota Mojokerto,62684 (*)
Kota Madiun,92449 (*)
Kota Surabaya,264372 (*)
Kota Batu,99487 (*)
,
Keterangan,
Perbedaan,
antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh,
diskrepansi statistik.,
