kode_wilayah,nama_wilayah,tipe_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_bps,rasio_jenis_kelamin,tahun,jumlah_penduduk_miskin,tpt,ipm,kepadatan_sipil_smt1,kepadatan_sipil_smt2,kepadatan_sipil_tahunan,pdrb_per_kapita,cluster,label_cluster
3501,Pacitan,Kabupaten,589034.0,0.1,1.4,411.0,100.9,2025,72.47,1.4,71.9,414.39,0.0,414.39,38215.0,1,Tertinggal
3502,Ponorogo,Kabupaten,966111.0,0.37,2.3,681.0,99.1,2025,77.93,3.85,72.8,689.21,0.0,689.21,30007.0,0,Tumbuh tapi Timpang
3503,Trenggalek,Kabupaten,747614.0,0.47,1.78,598.0,100.3,2025,72.35,3.86,73.39,606.33,0.0,606.33,35110.0,0,Tumbuh tapi Timpang
3504,Tulungagung,Kabupaten,1119588.0,0.57,2.66,978.0,100.1,2025,63.17,4.03,75.88,993.05,0.0,993.05,49485.0,0,Tumbuh tapi Timpang
3505,Blitar,Kabupaten,1273451.0,0.84,3.03,730.0,100.9,2025,89.04,4.49,74.43,720.68,0.0,720.68,40200.0,0,Tumbuh tapi Timpang
3506,Kediri,Kabupaten,1702262.0,0.85,4.04,1117.0,101.8,2025,157.47,4.71,76.09,1108.24,0.0,1108.24,34496.0,0,Tumbuh tapi Timpang
3507,Malang,Kabupaten,2755438.0,0.79,6.55,793.0,100.9,2025,235.63,5.0,74.45,785.21,0.0,785.21,54521.0,0,Tumbuh tapi Timpang
3508,Lumajang,Kabupaten,1152264.0,0.61,2.74,641.0,97.7,2025,90.64,3.08,71.02,619.32,0.0,619.32,40349.0,1,Tertinggal
3509,Jember,Kabupaten,2620135.0,0.68,6.23,791.0,99.2,2025,216.76,3.07,71.57,786.47,0.0,786.47,42357.0,1,Tertinggal
3510,Banyuwangi,Kabupaten,1764540.0,0.69,4.19,491.0,99.8,2025,100.13,3.94,75.17,496.9,0.0,496.9,67081.0,0,Tumbuh tapi Timpang
3511,Bondowoso,Kabupaten,796300.0,0.54,1.89,512.0,97.3,2025,96.71,2.55,71.72,504.54,0.0,504.54,35872.0,1,Tertinggal
3512,Situbondo,Kabupaten,704243.0,0.56,1.67,426.0,96.6,2025,78.02,3.02,71.87,416.35,0.0,416.35,41143.0,1,Tertinggal
3513,Probolinggo,Kabupaten,1193272.0,0.73,2.84,692.0,97.4,2025,196.26,2.92,71.65,690.31,0.0,690.31,41409.0,1,Tertinggal
3514,Pasuruan,Kabupaten,1669400.0,0.82,3.97,1118.0,100.0,2025,138.43,4.22,73.02,1098.74,0.0,1098.74,131055.0,0,Tumbuh tapi Timpang
3515,Sidoarjo,Kabupaten,2193692.0,1.1,5.21,3030.0,100.8,2025,107.57,5.75,83.35,2766.19,0.0,2766.19,145529.0,0,Tumbuh tapi Timpang
3516,Mojokerto,Kabupaten,1162696.0,0.81,2.76,1181.0,101.0,2025,102.67,3.49,77.46,1170.9,0.0,1170.9,105452.0,0,Tumbuh tapi Timpang
3517,Jombang,Kabupaten,1373793.0,0.88,3.26,1238.0,101.5,2025,107.82,3.28,76.37,1238.54,0.0,1238.54,42359.0,1,Tertinggal
3518,Nganjuk,Kabupaten,1138604.0,0.65,2.71,883.0,100.9,2025,107.3,3.84,75.89,891.04,0.0,891.04,34314.0,0,Tumbuh tapi Timpang
3519,Madiun,Kabupaten,760948.0,0.47,1.81,683.0,97.8,2025,71.59,3.22,75.47,663.8,0.0,663.8,36116.0,0,Tumbuh tapi Timpang
3520,Magetan,Kabupaten,689209.0,0.57,1.64,976.0,96.7,2025,58.38,3.26,77.58,979.98,0.0,979.98,38264.0,0,Tumbuh tapi Timpang
3521,Ngawi,Kabupaten,887172.0,0.41,2.11,636.0,98.0,2025,114.9,2.26,74.43,648.85,0.0,648.85,31279.0,1,Tertinggal
3522,Bojonegoro,Kabupaten,1330516.0,0.46,3.16,575.0,100.5,2025,144.9,3.9,73.74,590.28,0.0,590.28,78894.0,0,Tumbuh tapi Timpang
3523,Tuban,Kabupaten,1231374.0,0.58,2.93,624.0,99.6,2025,168.86,3.44,73.15,639.32,0.0,639.32,75150.0,1,Tertinggal
3524,Lamongan,Kabupaten,1386390.0,0.65,3.29,791.0,99.9,2025,145.45,4.29,76.81,779.03,0.0,779.03,40469.0,0,Tumbuh tapi Timpang
3525,Gresik,Kabupaten,1377287.0,1.04,3.27,1096.0,101.3,2025,138.55,5.47,79.69,1042.03,0.0,1042.03,146668.0,0,Tumbuh tapi Timpang
3526,Bangkalan,Kabupaten,1112956.0,1.02,2.64,855.0,97.7,2025,187.9,5.31,68.15,787.52,0.0,787.52,27588.0,0,Tumbuh tapi Timpang
3527,Sampang,Kabupaten,1027538.0,1.23,2.44,837.0,98.8,2025,213.98,2.44,67.23,820.09,0.0,820.09,25531.0,1,Tertinggal
3528,Pamekasan,Kabupaten,893327.0,1.05,2.12,1123.0,96.9,2025,118.52,1.33,71.64,1119.03,0.0,1119.03,27206.0,1,Tertinggal
3529,Sumenep,Kabupaten,1159397.0,0.65,2.75,556.0,94.1,2025,188.48,1.64,70.54,547.48,0.0,547.48,42090.0,1,Tertinggal
3571,Kota Kediri,Kota,301202.0,1.04,0.72,4480.0,100.6,2025,17.93,3.76,82.71,4469.08,0.0,4469.08,581558.0,2,Makmur & Merata
3572,Kota Blitar,Kota,156330.0,0.99,0.37,4709.0,98.3,2025,9.69,4.28,82.03,4835.51,0.0,4835.51,63146.0,0,Tumbuh tapi Timpang
3573,Kota Malang,Kota,879873.0,0.88,2.09,7921.0,98.7,2025,34.41,5.69,85.55,7969.67,0.0,7969.67,122919.0,0,Tumbuh tapi Timpang
3574,Kota Probolinggo,Kota,252085.0,1.07,0.6,4610.0,98.6,2025,14.11,4.93,78.5,4445.03,0.0,4445.03,65483.0,0,Tumbuh tapi Timpang
