kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,18019,15577,33596
Kabupaten PACITAN,5-9,14559,15679,30238
Kabupaten PACITAN,10-14,16996,16753,33749
Kabupaten PACITAN,15-19,18438,16237,34675
Kabupaten PACITAN,20-24,16046,16526,32572
Kabupaten PACITAN,25-29,15015,15581,30596
Kabupaten PACITAN,30-34,17611,19809,37420
Kabupaten PACITAN,35-39,15129,14796,29925
Kabupaten PACITAN,40-44,20114,20038,40152
Kabupaten PACITAN,45-49,21653,23097,44750
Kabupaten PACITAN,50-54,20363,21096,41459
Kabupaten PACITAN,55-59,19870,22156,42026
Kabupaten PACITAN,60-64,18839,19609,38448
Kabupaten PACITAN,65-69,14175,16939,31114
Kabupaten PACITAN,70-74,13282,12374,25656
Kabupaten PACITAN,75+,12061,19328,31389
Kabupaten PONOROGO,0-4,22966,26150,49116
Kabupaten PONOROGO,5-9,28446,23389,51835
Kabupaten PONOROGO,10-14,28144,24369,52513
Kabupaten PONOROGO,15-19,31100,27985,59085
Kabupaten PONOROGO,20-24,25444,21203,46647
Kabupaten PONOROGO,25-29,26152,25773,51925
Kabupaten PONOROGO,30-34,29061,25910,54971
Kabupaten PONOROGO,35-39,28017,29474,57491
Kabupaten PONOROGO,40-44,32302,29936,62238
Kabupaten PONOROGO,45-49,32927,35622,68549
Kabupaten PONOROGO,50-54,32670,36955,69625
Kabupaten PONOROGO,55-59,32845,32183,65028
Kabupaten PONOROGO,60-64,29896,31337,61233
Kabupaten PONOROGO,65-69,23081,22920,46001
Kabupaten PONOROGO,70-74,17950,18692,36642
Kabupaten PONOROGO,75+,17772,27397,45169
Kabupaten TRENGGALEK,0-4,22565,22898,45463
Kabupaten TRENGGALEK,5-9,20389,19282,39671
Kabupaten TRENGGALEK,10-14,21662,20460,42122
Kabupaten TRENGGALEK,15-19,24562,23611,48173
Kabupaten TRENGGALEK,20-24,21856,22200,44056
Kabupaten TRENGGALEK,25-29,21217,21346,42563
Kabupaten TRENGGALEK,30-34,22861,25901,48762
Kabupaten TRENGGALEK,35-39,23474,20806,44280
Kabupaten TRENGGALEK,40-44,27483,25327,52810
Kabupaten TRENGGALEK,45-49,26409,28780,55189
Kabupaten TRENGGALEK,50-54,25871,25890,51761
Kabupaten TRENGGALEK,55-59,23807,26140,49947
Kabupaten TRENGGALEK,60-64,20467,20844,41311
Kabupaten TRENGGALEK,65-69,18283,18381,36664
Kabupaten TRENGGALEK,70-74,12651,11513,24164
Kabupaten TRENGGALEK,75+,14511,19269,33780
Kabupaten TULUNGAGUNG,0-4,35766,33526,69292
Kabupaten TULUNGAGUNG,5-9,36965,37343,74308
Kabupaten TULUNGAGUNG,10-14,31722,32712,64434
Kabupaten TULUNGAGUNG,15-19,36711,34704,71415
