kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3501,Pacitan,2018,1.39,0.31,375333,554415,67.69892589486216,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2019,0.91,0.29,374894,555510,67.48645388921891,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2020,2.28,0.78,374191,556419,67.24986026717275,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2021,2.04,0.68,373227,557164,66.98691947074829,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2022,3.65,0.66,372023,557765,66.69887855996701,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2023,1.83,0.12,370531,558220,66.37723478198559,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2024,1.56,0.11,368774,558526,66.02629062926346,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3501,Pacitan,2025,1.4,0.1,366640,558676,65.62658857727914,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2018,3.77,0.22,601201,872793,68.88242687555926,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2019,3.5,0.21,600767,874518,68.69692790771602,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2020,4.45,1.01,599867,875950,68.48187681945316,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2021,4.38,0.92,598515,877121,68.23630947155523,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2022,5.51,0.9,596792,878068,67.96649006682853,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3502,Ponorogo,2023,4.66,0.39,594627,878785,67.66467338427488,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3502,Ponorogo,2024,4.19,0.38,592059,879266,67.33559582651894,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3502,Ponorogo,2025,3.85,0.37,588916,879503,66.9600899598978,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2018,4.12,0.37,480860,694780,69.21039753591064,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2019,3.36,0.35,480848,696585,69.02933597479131,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2020,4.11,0.78,480500,698158,68.82396248413683,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2021,3.53,0.69,479825,699526,68.59287574729174,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2022,5.37,0.67,478852,700716,68.33752904172303,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3503,Trenggalek,2023,4.52,0.5,477518,701723,68.04935850755925,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2024,3.9,0.49,475861,702544,67.7339782276982,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3503,Trenggalek,2025,3.86,0.47,473741,703168,67.37237758259762,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3504,Tulungagung,2018,2.53,0.55,714191,1034976,69.0055614816189,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3504,Tulungagung,2019,3.29,0.53,715853,1039520,68.86380252424196,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3504,Tulungagung,2020,4.61,0.93,716951,1043729,68.69129822013186,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3504,Tulungagung,2021,4.91,0.83,717528,1047645,68.48961241641969,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3504,Tulungagung,2022,6.65,0.81,717662,1051302,68.26411440290231,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3504,Tulungagung,2023,5.65,0.6,717270,1054696,68.00727413396847,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3504,Tulungagung,2024,4.12,0.58,716409,1057817,67.72523035647943,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3504,Tulungagung,2025,4.03,0.57,714910,1060650,67.40300758968557,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3505,Blitar,2018,3.38,0.45,783756,1157300,67.72280307612546,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3505,Blitar,2019,3.05,0.43,784515,1161167,67.56263310962161,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3505,Blitar,2020,3.82,0.89,784747,1164649,67.38055843434374,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3505,Blitar,2021,3.66,0.79,784462,1167796,67.17457501138897,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3505,Blitar,2022,5.45,0.77,783673,1170647,66.9435790635435,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3505,Blitar,2023,4.91,0.88,782280,1173198,66.67928175806641,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3505,Blitar,2024,4.77,0.86,780316,1175438,66.38512622528793,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3505,Blitar,2025,4.49,0.84,777558,1177355,66.04278233837712,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3506,Kediri,2018,4.15,0.55,1075493,1567861,68.5961957086757,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3506,Kediri,2019,3.58,0.54,1078327,1574771,68.47516242044081,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3506,Kediri,2020,5.24,0.84,1080462,1581175,68.33285373219283,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2021,5.15,0.74,1081912,1587132,68.16773904123916,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
