Kabupaten_Kota,Jumlah_Penduduk_Miskin,Tahun
Pacitan,85.26,2017
Ponorogo,99.03,2017
Trenggalek,89.77,2017
Tulungagung,82.8,2017
Blitar,112.93,2017
Kediri,191.08,2017
Malang,283.96,2017
Lumajang,112.65,2017
Jember,266.9,2017
Banyuwangi,138.54,2017
Bondowoso,111.66,2017
Situbondo,88.23,2017
Probolinggo,236.72,2017
Pasuruan,165.64,2017
Sidoarjo,135.42,2017
Mojokerto,111.79,2017
Jombang,131.16,2017
Nganjuk,125.52,2017
Madiun,83.43,2017
Magetan,65.87,2017
Ngawi,123.76,2017
Bojonegoro,178.25,2017
Tuban,196.1,2017
Lamongan,171.38,2017
Gresik,164.08,2017
Bangkalan,206.53,2017
Sampang,225.13,2017
Pamekasan,137.77,2017
Sumenep,211.92,2017
Kota Kediri,24.07,2017
Kota Blitar,11.22,2017
Kota Malang,35.88,2017
Kota Probolinggo,18.23,2017
Kota Pasuruan,14.85,2017
Kota Mojokerto,7.28,2017
Kota Madiun,8.7,2017
Kota Surabaya,154.71,2017
Kota Batu,8.77,2017
Jawa Timur,4617.01,2017
Pacitan,78.64,2018
Ponorogo,90.22,2018
Trenggalek,83.5,2018
Tulungagung,75.23,2018
Blitar,112.4,2018
Kediri,177.2,2018
Malang,268.49,2018
Lumajang,103.69,2018
Jember,243.42,2018
Banyuwangi,125.5,2018
Bondowoso,110.98,2018
Situbondo,80.27,2018
Probolinggo,217.06,2018
Pasuruan,152.48,2018
Sidoarjo,125.75,2018
Mojokerto,111.55,2018
Jombang,120.19,2018
Nganjuk,127.28,2018
Madiun,77.75,2018
Magetan,64.86,2018
Ngawi,123.09,2018
Bojonegoro,163.94,2018
Tuban,178.64,2018
Lamongan,164.0,2018
Gresik,154.02,2018
Bangkalan,191.33,2018
Sampang,204.82,2018
Pamekasan,125.76,2018
Sumenep,218.6,2018
Kota Kediri,21.9,2018
Kota Blitar,10.47,2018
Kota Malang,35.49,2018
Kota Probolinggo,16.9,2018
Kota Pasuruan,13.45,2018
Kota Mojokerto,7.04,2018
Kota Madiun,7.92,2018
Kota Surabaya,140.81,2018
Kota Batu,7.98,2018
Jawa Timur,4332.59,2018
Pacitan,75.86,2019
Ponorogo,83.97,2019
Trenggalek,76.44,2019
Tulungagung,70.01,2019
Blitar,103.75,2019
Kediri,163.95,2019
Malang,246.6,2019
Lumajang,98.88,2019
Jember,226.57,2019
Banyuwangi,121.37,2019
Bondowoso,103.33,2019
Situbondo,76.44,2019
Probolinggo,207.22,2019
Pasuruan,141.09,2019
Sidoarjo,119.29,2019
Mojokerto,108.81,2019
Jombang,116.44,2019
Nganjuk,118.51,2019
Madiun,71.91,2019
Magetan,60.43,2019
Ngawi,119.43,2019
Bojonegoro,154.64,2019
Tuban,170.8,2019
Lamongan,157.11,2019
Gresik,148.61,2019
Bangkalan,186.11,2019
Sampang,202.21,2019
Pamekasan,122.43,2019
Sumenep,211.98,2019
Kota Kediri,20.54,2019
Kota Blitar,10.1,2019
Kota Malang,35.39,2019
Kota Probolinggo,16.37,2019
Kota Pasuruan,12.92,2019
Kota Mojokerto,6.63,2019
Kota Madiun,7.69,2019
Kota Surabaya,130.55,2019
Kota Batu,7.89,2019
Jawa Timur,4112.25,2019
Pacitan,80.82,2020
Ponorogo,86.74,2020
Trenggalek,81.06,2020
Tulungagung,76.4,2020
Blitar,108.55,2020
Kediri,179.93,2020
Malang,265.56,2020
Lumajang,102.6,2020
Jember,247.99,2020
Banyuwangi,130.37,2020
Bondowoso,110.24,2020
Situbondo,83.74,2020
Probolinggo,218.35,2020
Pasuruan,151.43,2020
Sidoarjo,127.05,2020
Mojokerto,118.8,2020
Jombang,125.94,2020
Nganjuk,122.73,2020
Madiun,78.3,2020
Magetan,65.09,2020
Ngawi,128.19,2020
Bojonegoro,161.1,2020
Tuban,187.13,2020
Lamongan,164.68,2020
Gresik,164.05,2020
Bangkalan,204.0,2020
Sampang,224.74,2020
Pamekasan,129.41,2020
Sumenep,220.23,2020
Kota Kediri,22.19,2020
Kota Blitar,11.1,2020
Kota Malang,38.77,2020
