Kabupaten_Kota,IPM,Tahun
Trenggalek,68.1,2017
Tulungagung,71.24,2017
Blitar,69.33,2017
Kediri,70.47,2017
Malang,68.47,2017
Lumajang,64.23,2017
Jember,64.96,2017
Banyuwangi,69.64,2017
Bondowoso,64.75,2017
Situbondo,65.68,2017
Probolinggo,64.28,2017
Pasuruan,66.69,2017
Sidoarjo,78.7,2017
Mojokerto,72.36,2017
Jombang,70.88,2017
Nganjuk,70.69,2017
Madiun,70.27,2017
Magetan,72.6,2017
Ngawi,69.27,2017
Bojonegoro,67.28,2017
Tuban,66.77,2017
Lamongan,71.11,2017
Gresik,74.84,2017
Bangkalan,62.3,2017
Sampang,59.9,2017
Pamekasan,64.93,2017
Sumenep,64.28,2017
Kota Kediri,77.13,2017
Kota Blitar,77.1,2017
Kota Malang,80.65,2017
Kota Probolinggo,72.09,2017
Kota Pasuruan,74.39,2017
Kota Mojokerto,76.77,2017
Kota Madiun,80.13,2017
Kota Surabaya,81.07,2017
Kota Batu,74.26,2017
Jawa Timur,70.27,2017
Trenggalek,68.71,2018
Tulungagung,71.99,2018
Blitar,69.93,2018
Kediri,71.07,2018
Malang,69.4,2018
Lumajang,64.83,2018
Jember,65.96,2018
Banyuwangi,70.06,2018
Bondowoso,65.27,2018
Situbondo,66.42,2018
Probolinggo,64.85,2018
Pasuruan,67.41,2018
Sidoarjo,79.5,2018
Mojokerto,72.64,2018
Jombang,71.86,2018
Nganjuk,71.23,2018
Madiun,71.01,2018
Magetan,72.91,2018
Ngawi,69.91,2018
Bojonegoro,67.85,2018
Tuban,67.43,2018
Lamongan,71.97,2018
Gresik,75.28,2018
Bangkalan,62.87,2018
Sampang,61.0,2018
Pamekasan,65.41,2018
Sumenep,65.25,2018
Kota Kediri,77.58,2018
Kota Blitar,77.58,2018
Kota Malang,80.89,2018
Kota Probolinggo,72.53,2018
Kota Pasuruan,74.78,2018
Kota Mojokerto,77.14,2018
Kota Madiun,80.33,2018
Kota Surabaya,81.74,2018
Kota Batu,75.04,2018
Jawa Timur,70.77,2018
Trenggalek,69.46,2019
Tulungagung,72.62,2019
Blitar,70.57,2019
Kediri,71.85,2019
Malang,70.35,2019
Lumajang,65.33,2019
Jember,66.69,2019
Banyuwangi,70.6,2019
Bondowoso,66.09,2019
Situbondo,67.09,2019
Probolinggo,65.6,2019
Pasuruan,68.29,2019
Sidoarjo,80.05,2019
Mojokerto,73.53,2019
Jombang,72.85,2019
Nganjuk,71.71,2019
Madiun,71.69,2019
Magetan,73.49,2019
Ngawi,70.41,2019
Bojonegoro,68.75,2019
Tuban,68.37,2019
Lamongan,72.57,2019
Gresik,76.1,2019
Bangkalan,63.79,2019
Sampang,61.94,2019
Pamekasan,65.94,2019
Sumenep,66.22,2019
Kota Kediri,78.08,2019
Kota Blitar,78.56,2019
Kota Malang,81.32,2019
Kota Probolinggo,73.27,2019
Kota Pasuruan,75.25,2019
Kota Mojokerto,77.96,2019
Kota Madiun,80.88,2019
Kota Surabaya,82.22,2019
Kota Batu,75.88,2019
Jawa Timur,71.5,2019
Trenggalek,70.1,2020
Tulungagung,73.15,2020
Blitar,71.02,2020
Kediri,72.8,2020
Malang,71.24,2020
Lumajang,67.04,2020
Jember,69.01,2020
Banyuwangi,71.85,2020
Bondowoso,69.1,2020
Situbondo,68.94,2020
Probolinggo,68.77,2020
Pasuruan,70.2,2020
Sidoarjo,80.65,2020
Mojokerto,74.58,2020
Jombang,73.63,2020
Nganjuk,72.78,2020
Madiun,72.94,2020
Magetan,74.85,2020
Ngawi,71.49,2020
Bojonegoro,70.18,2020
Tuban,69.6,2020
Lamongan,73.44,2020
Gresik,76.59,2020
Bangkalan,65.17,2020
Sampang,64.75,2020
Pamekasan,68.65,2020
Sumenep,67.15,2020
Kota Kediri,78.78,2020
Kota Blitar,78.88,2020
Kota Malang,82.19,2020
Kota Probolinggo,74.81,2020
Kota Pasuruan,76.47,2020
Kota Mojokerto,78.95,2020
Kota Madiun,81.93,2020
Kota Surabaya,82.76,2020
Kota Batu,76.82,2020
Jawa Timur,73.04,2020
Trenggalek,70.4,2021
Tulungagung,73.29,2021
Blitar,71.48,2021
Kediri,73.31,2021
Malang,71.48,2021
Lumajang,67.65,2021
Jember,69.2,2021
Banyuwangi,72.62,2021
Bondowoso,69.24,2021
Situbondo,69.34,2021
Probolinggo,68.94,2021
Pasuruan,70.54,2021
Sidoarjo,81.01,2021
Mojokerto,74.9,2021
Jombang,74.1,2021
Nganjuk,73.03,2021
Madiun,73.07,2021
Magetan,75.08,2021
Ngawi,71.97,2021
Bojonegoro,70.7,2021
Tuban,70.1,2021
Lamongan,73.97,2021
Gresik,76.98,2021
Bangkalan,65.42,2021
Sampang,64.86,2021
Pamekasan,68.78,2021
Sumenep,67.74,2021
Kota Kediri,79.15,2021
Kota Blitar,79.27,2021
Kota Malang,82.77,2021
Kota Probolinggo,75.2,2021
Kota Pasuruan,76.83,2021
Kota Mojokerto,79.34,2021
Kota Madiun,82.27,2021
Kota Surabaya,82.94,2021
Kota Batu,77.21,2021
Jawa Timur,73.48,2021
Trenggalek,71.28,2022
Tulungagung,74.14,2022
Blitar,72.25,2022
Kediri,74.2,2022
Malang,72.23,2022
Lumajang,68.48,2022
Jember,69.8,2022
Banyuwangi,73.15,2022
Bondowoso,69.91,2022
Situbondo,69.76,2022
Probolinggo,69.56,2022
Pasuruan,71.29,2022
Sidoarjo,81.37,2022
Mojokerto,75.61,2022
