id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_per_km2,periode_update,satuan,tahun
1,1,35,JAWA TIMUR,3579,KOTA BATU,1522.15,2018-S1,JIWA/KM2,2018
2,2,35,JAWA TIMUR,3501,KABUPATEN PACITAN,425.29,2018-S1,JIWA/KM2,2018
3,3,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,735.45,2018-S1,JIWA/KM2,2018
4,4,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,651.14,2018-S1,JIWA/KM2,2018
5,5,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1050.23,2018-S1,JIWA/KM2,2018
6,6,35,JAWA TIMUR,3572,KOTA BLITAR,918.91,2018-S1,JIWA/KM2,2018
7,7,35,JAWA TIMUR,3571,KOTA KEDIRI,1174.07,2018-S1,JIWA/KM2,2018
8,8,35,JAWA TIMUR,3573,KOTA MALANG,701.08,2018-S1,JIWA/KM2,2018
9,9,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,627.01,2018-S1,JIWA/KM2,2018
10,10,35,JAWA TIMUR,3509,KABUPATEN JEMBER,826.69,2018-S1,JIWA/KM2,2018
11,11,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,299.65,2018-S1,JIWA/KM2,2018
12,12,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,518.72,2018-S1,JIWA/KM2,2018
13,13,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,411.15,2018-S1,JIWA/KM2,2018
14,14,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,659.89,2018-S1,JIWA/KM2,2018
15,15,35,JAWA TIMUR,3575,KOTA PASURUAN,1074.71,2018-S1,JIWA/KM2,2018
16,16,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2945.52,2018-S1,JIWA/KM2,2018
17,17,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1548.0,2018-S1,JIWA/KM2,2018
18,18,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1170.8,2018-S1,JIWA/KM2,2018
19,19,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,905.96,2018-S1,JIWA/KM2,2018
20,20,35,JAWA TIMUR,3577,KOTA MADIUN,713.6,2018-S1,JIWA/KM2,2018
21,21,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1003.75,2018-S1,JIWA/KM2,2018
22,22,35,JAWA TIMUR,3521,KABUPATEN NGAWI,698.71,2018-S1,JIWA/KM2,2018
23,23,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,602.49,2018-S1,JIWA/KM2,2018
24,24,35,JAWA TIMUR,3523,KABUPATEN TUBAN,652.54,2018-S1,JIWA/KM2,2018
25,25,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,763.34,2018-S1,JIWA/KM2,2018
26,26,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1061.41,2018-S1,JIWA/KM2,2018
27,27,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1065.59,2018-S1,JIWA/KM2,2018
28,28,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,692.5,2018-S1,JIWA/KM2,2018
29,29,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1034.82,2018-S1,JIWA/KM2,2018
30,30,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,565.33,2018-S1,JIWA/KM2,2018
31,31,35,JAWA TIMUR,3571,KOTA KEDIRI,4602.6,2018-S1,JIWA/KM2,2018
32,32,35,JAWA TIMUR,3572,KOTA BLITAR,4787.04,2018-S1,JIWA/KM2,2018
33,33,35,JAWA TIMUR,3573,KOTA MALANG,5827.66,2018-S1,JIWA/KM2,2018
34,34,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4179.87,2018-S1,JIWA/KM2,2018
35,35,35,JAWA TIMUR,3575,KOTA PASURUAN,5897.87,2018-S1,JIWA/KM2,2018
36,36,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8711.84,2018-S1,JIWA/KM2,2018
37,37,35,JAWA TIMUR,3577,KOTA MADIUN,6068.51,2018-S1,JIWA/KM2,2018
38,38,35,JAWA TIMUR,3578,KOTA SURABAYA,8314.0,2018-S1,JIWA/KM2,2018
115,115,35,JAWA TIMUR,3501,KABUPATEN PACITAN,427.91,2019-S1,JIWA/KM2,2019
116,116,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,740.8,2019-S1,JIWA/KM2,2019
117,117,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,653.58,2019-S1,JIWA/KM2,2019
118,118,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1057.62,2019-S1,JIWA/KM2,2019
119,119,35,JAWA TIMUR,3572,KOTA BLITAR,928.95,2019-S1,JIWA/KM2,2019
120,120,35,JAWA TIMUR,3571,KOTA KEDIRI,1195.97,2019-S1,JIWA/KM2,2019
121,121,35,JAWA TIMUR,3573,KOTA MALANG,720.12,2019-S1,JIWA/KM2,2019
122,122,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,629.53,2019-S1,JIWA/KM2,2019
123,123,35,JAWA TIMUR,3509,KABUPATEN JEMBER,828.99,2019-S1,JIWA/KM2,2019
124,124,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,301.89,2019-S1,JIWA/KM2,2019
125,125,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,521.73,2019-S1,JIWA/KM2,2019
126,126,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,413.14,2019-S1,JIWA/KM2,2019
127,127,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,669.97,2019-S1,JIWA/KM2,2019
128,128,35,JAWA TIMUR,3575,KOTA PASURUAN,1078.64,2019-S1,JIWA/KM2,2019
129,129,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,3016.83,2019-S1,JIWA/KM2,2019
130,130,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1579.74,2019-S1,JIWA/KM2,2019
131,131,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1201.22,2019-S1,JIWA/KM2,2019
132,132,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,914.44,2019-S1,JIWA/KM2,2019
133,133,35,JAWA TIMUR,3577,KOTA MADIUN,718.97,2019-S1,JIWA/KM2,2019
134,134,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1010.95,2019-S1,JIWA/KM2,2019
135,135,35,JAWA TIMUR,3521,KABUPATEN NGAWI,702.2,2019-S1,JIWA/KM2,2019
136,136,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,605.41,2019-S1,JIWA/KM2,2019
137,137,35,JAWA TIMUR,3523,KABUPATEN TUBAN,659.66,2019-S1,JIWA/KM2,2019
138,138,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,768.27,2019-S1,JIWA/KM2,2019
139,139,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1067.63,2019-S1,JIWA/KM2,2019
140,140,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1071.21,2019-S1,JIWA/KM2,2019
141,141,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,695.92,2019-S1,JIWA/KM2,2019
142,142,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1040.6,2019-S1,JIWA/KM2,2019
143,143,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,567.29,2019-S1,JIWA/KM2,2019
144,144,35,JAWA TIMUR,3571,KOTA KEDIRI,4627.27,2019-S1,JIWA/KM2,2019
145,145,35,JAWA TIMUR,3572,KOTA BLITAR,4834.66,2019-S1,JIWA/KM2,2019
146,146,35,JAWA TIMUR,3573,KOTA MALANG,5896.34,2019-S1,JIWA/KM2,2019
147,147,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4236.47,2019-S1,JIWA/KM2,2019
148,148,35,JAWA TIMUR,3575,KOTA PASURUAN,5965.06,2019-S1,JIWA/KM2,2019
149,149,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8417.43,2019-S1,JIWA/KM2,2019
150,150,35,JAWA TIMUR,3577,KOTA MADIUN,6090.74,2019-S1,JIWA/KM2,2019
151,151,35,JAWA TIMUR,3578,KOTA SURABAYA,8392.71,2019-S1,JIWA/KM2,2019
152,152,35,JAWA TIMUR,3579,KOTA BATU,1547.29,2019-S1,JIWA/KM2,2019
191,191,35,JAWA TIMUR,3501,KABUPATEN PACITAN,429.75,2020-S1,JIWA/KM2,2020
192,192,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,746.78,2020-S1,JIWA/KM2,2020
193,193,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,655.17,2020-S1,JIWA/KM2,2020
