id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_per_km2,periode_update,satuan,tahun
39,39,35,JAWA TIMUR,3501,KABUPATEN PACITAN,426.6,2018-S2,JIWA/KM2,2018
40,40,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,736.87,2018-S2,JIWA/KM2,2018
41,41,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,652.39,2018-S2,JIWA/KM2,2018
42,42,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1051.06,2018-S2,JIWA/KM2,2018
43,43,35,JAWA TIMUR,3572,KOTA BLITAR,920.45,2018-S2,JIWA/KM2,2018
44,44,35,JAWA TIMUR,3571,KOTA KEDIRI,1188.87,2018-S2,JIWA/KM2,2018
45,45,35,JAWA TIMUR,3573,KOTA MALANG,705.85,2018-S2,JIWA/KM2,2018
46,46,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,628.04,2018-S2,JIWA/KM2,2018
47,47,35,JAWA TIMUR,3509,KABUPATEN JEMBER,826.76,2018-S2,JIWA/KM2,2018
48,48,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,299.71,2018-S2,JIWA/KM2,2018
49,49,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,519.85,2018-S2,JIWA/KM2,2018
50,50,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,411.36,2018-S2,JIWA/KM2,2018
51,51,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,663.24,2018-S2,JIWA/KM2,2018
52,52,35,JAWA TIMUR,3575,KOTA PASURUAN,1075.24,2018-S2,JIWA/KM2,2018
53,53,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2967.36,2018-S2,JIWA/KM2,2018
54,54,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1560.6,2018-S2,JIWA/KM2,2018
55,55,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1188.35,2018-S2,JIWA/KM2,2018
56,56,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,908.43,2018-S2,JIWA/KM2,2018
57,57,35,JAWA TIMUR,3577,KOTA MADIUN,713.98,2018-S2,JIWA/KM2,2018
58,58,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1004.5,2018-S2,JIWA/KM2,2018
59,59,35,JAWA TIMUR,3521,KABUPATEN NGAWI,699.8,2018-S2,JIWA/KM2,2018
60,60,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,602.94,2018-S2,JIWA/KM2,2018
61,61,35,JAWA TIMUR,3523,KABUPATEN TUBAN,653.56,2018-S2,JIWA/KM2,2018
62,62,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,763.9,2018-S2,JIWA/KM2,2018
63,63,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1062.13,2018-S2,JIWA/KM2,2018
64,64,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1065.36,2018-S2,JIWA/KM2,2018
65,65,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,692.96,2018-S2,JIWA/KM2,2018
66,66,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1036.23,2018-S2,JIWA/KM2,2018
67,67,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,565.68,2018-S2,JIWA/KM2,2018
68,68,35,JAWA TIMUR,3571,KOTA KEDIRI,4605.82,2018-S2,JIWA/KM2,2018
69,69,35,JAWA TIMUR,3572,KOTA BLITAR,4812.19,2018-S2,JIWA/KM2,2018
70,70,35,JAWA TIMUR,3573,KOTA MALANG,5832.72,2018-S2,JIWA/KM2,2018
71,71,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4204.16,2018-S2,JIWA/KM2,2018
72,72,35,JAWA TIMUR,3575,KOTA PASURUAN,5926.3,2018-S2,JIWA/KM2,2018
73,73,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8732.6,2018-S2,JIWA/KM2,2018
74,74,35,JAWA TIMUR,3577,KOTA MADIUN,6059.58,2018-S2,JIWA/KM2,2018
75,75,35,JAWA TIMUR,3578,KOTA SURABAYA,8318.34,2018-S2,JIWA/KM2,2018
76,76,35,JAWA TIMUR,3579,KOTA BATU,1535.27,2018-S2,JIWA/KM2,2018
77,77,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1014.86,2019-S2,JIWA/KM2,2019
78,78,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,743.81,2019-S2,JIWA/KM2,2019
79,79,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,653.97,2019-S2,JIWA/KM2,2019
80,80,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1059.83,2019-S2,JIWA/KM2,2019
81,81,35,JAWA TIMUR,3572,KOTA BLITAR,932.79,2019-S2,JIWA/KM2,2019
82,82,35,JAWA TIMUR,3571,KOTA KEDIRI,1199.46,2019-S2,JIWA/KM2,2019
83,83,35,JAWA TIMUR,3573,KOTA MALANG,722.19,2019-S2,JIWA/KM2,2019
84,84,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,630.28,2019-S2,JIWA/KM2,2019
85,85,35,JAWA TIMUR,3509,KABUPATEN JEMBER,830.72,2019-S2,JIWA/KM2,2019
86,86,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,302.24,2019-S2,JIWA/KM2,2019
87,87,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,522.68,2019-S2,JIWA/KM2,2019
88,88,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,414.18,2019-S2,JIWA/KM2,2019
89,89,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,671.1,2019-S2,JIWA/KM2,2019
90,90,35,JAWA TIMUR,3575,KOTA PASURUAN,1080.09,2019-S2,JIWA/KM2,2019
91,91,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,3036.96,2019-S2,JIWA/KM2,2019
92,92,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1585.93,2019-S2,JIWA/KM2,2019
93,93,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1204.58,2019-S2,JIWA/KM2,2019
94,94,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,917.67,2019-S2,JIWA/KM2,2019
95,95,35,JAWA TIMUR,3577,KOTA MADIUN,721.94,2019-S2,JIWA/KM2,2019
96,96,35,JAWA TIMUR,3501,KABUPATEN PACITAN,429.19,2019-S2,JIWA/KM2,2019
97,97,35,JAWA TIMUR,3521,KABUPATEN NGAWI,704.91,2019-S2,JIWA/KM2,2019
98,98,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,607.53,2019-S2,JIWA/KM2,2019
99,99,35,JAWA TIMUR,3523,KABUPATEN TUBAN,660.5,2019-S2,JIWA/KM2,2019
100,100,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,770.68,2019-S2,JIWA/KM2,2019
101,101,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1070.36,2019-S2,JIWA/KM2,2019
102,102,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1074.79,2019-S2,JIWA/KM2,2019
103,103,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,697.97,2019-S2,JIWA/KM2,2019
104,104,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1043.88,2019-S2,JIWA/KM2,2019
105,105,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,567.48,2019-S2,JIWA/KM2,2019
106,106,35,JAWA TIMUR,3571,KOTA KEDIRI,4652.21,2019-S2,JIWA/KM2,2019
107,107,35,JAWA TIMUR,3572,KOTA BLITAR,4847.41,2019-S2,JIWA/KM2,2019
108,108,35,JAWA TIMUR,3573,KOTA MALANG,5922.71,2019-S2,JIWA/KM2,2019
109,109,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4245.44,2019-S2,JIWA/KM2,2019
110,110,35,JAWA TIMUR,3575,KOTA PASURUAN,5979.26,2019-S2,JIWA/KM2,2019
111,111,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8436.13,2019-S2,JIWA/KM2,2019
112,112,35,JAWA TIMUR,3577,KOTA MADIUN,6097.61,2019-S2,JIWA/KM2,2019
113,113,35,JAWA TIMUR,3578,KOTA SURABAYA,8416.24,2019-S2,JIWA/KM2,2019
114,114,35,JAWA TIMUR,3579,KOTA BATU,1552.55,2019-S2,JIWA/KM2,2019
153,153,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,525.19,2020-S2,JIWA/KM2,2020
154,154,35,JAWA TIMUR,3579,KOTA BATU,1563.6,2020-S2,JIWA/KM2,2020
155,155,35,JAWA TIMUR,3578,KOTA SURABAYA,8474.72,2020-S2,JIWA/KM2,2020
156,156,35,JAWA TIMUR,3577,KOTA MADIUN,6007.28,2020-S2,JIWA/KM2,2020
157,157,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8486.58,2020-S2,JIWA/KM2,2020
158,158,35,JAWA TIMUR,3575,KOTA PASURUAN,5957.69,2020-S2,JIWA/KM2,2020
159,159,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4272.05,2020-S2,JIWA/KM2,2020
160,160,35,JAWA TIMUR,3573,KOTA MALANG,5962.64,2020-S2,JIWA/KM2,2020
161,161,35,JAWA TIMUR,3572,KOTA BLITAR,4860.7,2020-S2,JIWA/KM2,2020
162,162,35,JAWA TIMUR,3571,KOTA KEDIRI,4609.81,2020-S2,JIWA/KM2,2020
163,163,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,569.5,2020-S2,JIWA/KM2,2020
164,164,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1050.52,2020-S2,JIWA/KM2,2020
165,165,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,715.48,2020-S2,JIWA/KM2,2020
166,166,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1081.1,2020-S2,JIWA/KM2,2020
167,167,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1077.71,2020-S2,JIWA/KM2,2020
168,168,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,774.18,2020-S2,JIWA/KM2,2020
169,169,35,JAWA TIMUR,3523,KABUPATEN TUBAN,664.95,2020-S2,JIWA/KM2,2020
170,170,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,611.09,2020-S2,JIWA/KM2,2020
171,171,35,JAWA TIMUR,3521,KABUPATEN NGAWI,706.82,2020-S2,JIWA/KM2,2020
172,172,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1000.54,2020-S2,JIWA/KM2,2020
173,173,35,JAWA TIMUR,3577,KOTA MADIUN,726.85,2020-S2,JIWA/KM2,2020
174,174,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,922.14,2020-S2,JIWA/KM2,2020
175,175,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1210.76,2020-S2,JIWA/KM2,2020
176,176,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1596.74,2020-S2,JIWA/KM2,2020
177,177,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,3058.19,2020-S2,JIWA/KM2,2020
178,178,35,JAWA TIMUR,3575,KOTA PASURUAN,1087.88,2020-S2,JIWA/KM2,2020
179,179,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,675.7,2020-S2,JIWA/KM2,2020
180,180,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,415.74,2020-S2,JIWA/KM2,2020
181,181,35,JAWA TIMUR,3501,KABUPATEN PACITAN,429.86,2020-S2,JIWA/KM2,2020
182,182,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,303.46,2020-S2,JIWA/KM2,2020
183,183,35,JAWA TIMUR,3509,KABUPATEN JEMBER,833.98,2020-S2,JIWA/KM2,2020
184,184,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,624.06,2020-S2,JIWA/KM2,2020
185,185,35,JAWA TIMUR,3573,KOTA MALANG,732.28,2020-S2,JIWA/KM2,2020
186,186,35,JAWA TIMUR,3571,KOTA KEDIRI,1207.44,2020-S2,JIWA/KM2,2020
187,187,35,JAWA TIMUR,3572,KOTA BLITAR,934.69,2020-S2,JIWA/KM2,2020
188,188,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1067.16,2020-S2,JIWA/KM2,2020
189,189,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,657.08,2020-S2,JIWA/KM2,2020
190,190,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,748.86,2020-S2,JIWA/KM2,2020
229,229,35,JAWA TIMUR,3501,KABUPATEN PACITAN,430.2391504547,2021-S2,JIWA/KM2,2021
230,230,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,742.4798958413,2021-S2,JIWA/KM2,2021
231,231,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,651.3092519307,2021-S2,JIWA/KM2,2021
232,232,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1067.6047932553,2021-S2,JIWA/KM2,2021
233,233,35,JAWA TIMUR,3572,KOTA BLITAR,919.7855560876,2021-S2,JIWA/KM2,2021
234,234,35,JAWA TIMUR,3571,KOTA KEDIRI,1207.1411565239,2021-S2,JIWA/KM2,2021
235,235,35,JAWA TIMUR,3573,KOTA MALANG,746.5905711413,2021-S2,JIWA/KM2,2021
236,236,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,610.1563459713,2021-S2,JIWA/KM2,2021
237,237,35,JAWA TIMUR,3509,KABUPATEN JEMBER,835.1840353907,2021-S2,JIWA/KM2,2021
238,238,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,302.7770475927,2021-S2,JIWA/KM2,2021
239,239,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,525.6341867796,2021-S2,JIWA/KM2,2021
240,240,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,399.2041296628,2021-S2,JIWA/KM2,2021
241,241,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,682.3494732374,2021-S2,JIWA/KM2,2021
242,242,35,JAWA TIMUR,3575,KOTA PASURUAN,1088.884139971,2021-S2,JIWA/KM2,2021
243,243,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,3077.9107159747,2021-S2,JIWA/KM2,2021
244,244,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1570.9123330036,2021-S2,JIWA/KM2,2021
245,245,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1211.9380498435,2021-S2,JIWA/KM2,2021
246,246,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,926.2070655503,2021-S2,JIWA/KM2,2021
247,247,35,JAWA TIMUR,3577,KOTA MADIUN,727.1304381349,2021-S2,JIWA/KM2,2021
248,248,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1001.0176528657,2021-S2,JIWA/KM2,2021
249,249,35,JAWA TIMUR,3521,KABUPATEN NGAWI,692.111760984,2021-S2,JIWA/KM2,2021
250,250,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,610.5330659135,2021-S2,JIWA/KM2,2021
251,251,35,JAWA TIMUR,3523,KABUPATEN TUBAN,667.0217812066,2021-S2,JIWA/KM2,2021
252,252,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,774.4704132881,2021-S2,JIWA/KM2,2021
253,253,35,JAWA TIMUR,3525,KABUPATEN GRESIK,1077.9920251836,2021-S2,JIWA/KM2,2021
254,254,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1081.6344463972,2021-S2,JIWA/KM2,2021
255,255,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,752.2885781944,2021-S2,JIWA/KM2,2021
256,256,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1066.73482783,2021-S2,JIWA/KM2,2021
257,257,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,567.819508241,2021-S2,JIWA/KM2,2021
258,258,35,JAWA TIMUR,3571,KOTA KEDIRI,4615.094637224,2021-S2,JIWA/KM2,2021
259,259,35,JAWA TIMUR,3572,KOTA BLITAR,4858.5815167332,2021-S2,JIWA/KM2,2021
260,260,35,JAWA TIMUR,3573,KOTA MALANG,5964.1863986784,2021-S2,JIWA/KM2,2021
261,261,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,4277.7307217223,2021-S2,JIWA/KM2,2021
262,262,35,JAWA TIMUR,3575,KOTA PASURUAN,5967.6395579484,2021-S2,JIWA/KM2,2021
263,263,35,JAWA TIMUR,3576,KOTA MOJOKERTO,8510.321797207,2021-S2,JIWA/KM2,2021
264,264,35,JAWA TIMUR,3577,KOTA MADIUN,5939.0330188679,2021-S2,JIWA/KM2,2021
265,265,35,JAWA TIMUR,3578,KOTA SURABAYA,8475.3580190563,2021-S2,JIWA/KM2,2021
266,266,35,JAWA TIMUR,3579,KOTA BATU,1575.2084247477,2021-S2,JIWA/KM2,2021
343,343,35,JAWA TIMUR,3501,KABUPATEN PACITAN,417.96,2022-S2,JIWA/KM2,2022
344,344,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,684.11,2022-S2,JIWA/KM2,2022
345,345,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,601.23,2022-S2,JIWA/KM2,2022
346,346,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,985.63,2022-S2,JIWA/KM2,2022
347,347,35,JAWA TIMUR,3572,KOTA BLITAR,706.62,2022-S2,JIWA/KM2,2022
348,348,35,JAWA TIMUR,3571,KOTA KEDIRI,1099.36,2022-S2,JIWA/KM2,2022
349,349,35,JAWA TIMUR,3573,KOTA MALANG,774.0,2022-S2,JIWA/KM2,2022
350,350,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,610.71,2022-S2,JIWA/KM2,2022
351,351,35,JAWA TIMUR,3509,KABUPATEN JEMBER,780.24,2022-S2,JIWA/KM2,2022
352,352,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,490.44,2022-S2,JIWA/KM2,2022
353,353,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,516.31,2022-S2,JIWA/KM2,2022
354,354,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,407.06,2022-S2,JIWA/KM2,2022
355,355,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,677.01,2022-S2,JIWA/KM2,2022
356,356,35,JAWA TIMUR,3575,KOTA PASURUAN,1083.48,2022-S2,JIWA/KM2,2022
357,357,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2718.45,2022-S2,JIWA/KM2,2022
358,358,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1152.62,2022-S2,JIWA/KM2,2022
