Kabupaten_Kota,Jumlah_Penduduk,Laju_Pertumbuhan,Persentase_Penduduk,Kepadatan,Rasio_Jenis_Kelamin,Tahun
Pacitan,554.0,0.31,1.06,399.0,95.4,2018
Ponorogo,871.0,0.22,1.78,667.0,99.9,2018
Trenggalek,695.0,0.37,1.62,606.0,98.8,2018
Tulungagung,1035.0,0.55,2.62,980.0,95.2,2018
Blitar,1158.0,0.45,2.31,866.0,100.4,2018
Kediri,1568.0,0.55,3.02,1131.0,100.8,2018
Malang,2592.0,0.72,1.96,734.0,101.1,2018
Lumajang,1040.0,0.4,1.55,581.0,95.5,2018
Jember,2441.0,0.56,2.11,789.0,96.7,2018
Banyuwangi,1610.0,0.42,0.74,278.0,99.1,2018
Bondowoso,772.0,0.58,1.35,506.0,94.9,2018
Situbondo,680.0,0.61,1.09,407.0,95.3,2018
Probolinggo,1162.0,0.72,1.83,685.0,95.3,2018
Pasuruan,1617.0,0.83,2.93,1097.0,98.2,2018
Sidoarjo,2217.0,1.65,9.33,3495.0,101.0,2018
Mojokerto,1109.0,0.97,4.12,1545.0,99.8,2018
Jombang,1259.0,0.57,3.01,1129.0,99.0,2018
Nganjuk,1052.0,0.42,2.29,859.0,98.9,2018
Madiun,681.0,0.35,1.75,656.0,97.5,2018
Magetan,629.0,0.17,2.44,913.0,95.0,2018
Ngawi,830.0,0.19,1.71,640.0,95.7,2018
Bojonegoro,1247.0,0.37,1.51,567.0,97.8,2018
Tuban,1168.0,0.54,1.7,637.0,97.7,2018
Lamongan,1189.0,0.1,1.78,667.0,94.5,2018
Gresik,1299.0,1.23,2.91,1090.0,98.4,2018
Bangkalan,979.0,0.95,2.61,978.0,91.5,2018
Sampang,969.0,1.23,2.1,786.0,95.1,2018
Pamekasan,871.0,1.13,2.93,1099.0,94.6,2018
Sumenep,1085.0,0.5,1.45,543.0,90.8,2018
Kota Kediri,286.0,0.77,0.72,4511.0,99.3,2018
Kota Blitar,141.0,0.82,0.35,4329.0,98.3,2018
Kota Malang,866.0,0.68,2.19,5961.0,97.3,2018
Kota Probolinggo,235.0,1.0,0.58,4147.0,97.0,2018
Kota Pasuruan,199.0,0.83,0.5,5639.0,98.3,2018
Kota Mojokerto,128.0,0.81,0.32,7772.0,96.9,2018
Kota Madiun,177.0,0.41,0.46,5218.0,93.7,2018
Kota Surabaya,2886.0,0.53,7.38,8233.0,97.6,2018
Kota Batu,206.0,0.98,0.51,1507.0,101.2,2018
Keterangan,,,,,,2018
Pacitan,555.0,0.29,1.4,400.0,95.4,2019
Ponorogo,871.0,0.21,2.19,667.0,100.0,2019
Trenggalek,696.0,0.35,1.75,607.0,98.8,2019
Tulungagung,1039.0,0.53,2.62,984.0,95.1,2019
Blitar,1161.0,0.43,2.92,868.0,100.4,2019
Kediri,1574.0,0.54,3.97,1136.0,100.8,2019
Malang,2606.0,0.7,6.56,738.0,101.1,2019
Lumajang,1042.0,0.39,2.63,582.0,95.4,2019
Jember,2451.0,0.54,6.17,792.0,96.7,2019
Banyuwangi,1614.0,0.4,4.07,279.0,99.1,2019
Bondowoso,776.0,0.57,1.95,508.0,94.9,2019
Situbondo,683.0,0.59,1.72,409.0,95.3,2019
Probolinggo,1169.0,0.71,2.94,689.0,95.3,2019
Pasuruan,1627.0,0.81,4.1,1104.0,98.2,2019
Sidoarjo,2249.0,1.63,5.67,3546.0,101.0,2019
Mojokerto,1118.0,0.95,2.82,1557.0,99.8,2019
Jombang,1264.0,0.55,3.18,1133.0,99.0,2019
Nganjuk,1055.0,0.4,2.66,861.0,98.9,2019
Madiun,683.0,0.33,1.72,658.0,97.5,2019
Magetan,629.0,0.15,1.58,913.0,95.0,2019
Ngawi,830.0,0.17,2.09,641.0,95.6,2019
Bojonegoro,1250.0,0.36,3.15,568.0,97.8,2019
Tuban,1173.0,0.52,2.95,639.0,97.6,2019
Lamongan,1189.0,0.09,3.0,667.0,94.5,2019
Gresik,1313.0,1.21,3.31,1102.0,98.4,2019
Bangkalan,987.0,0.93,2.49,985.0,91.4,2019
Sampang,979.0,1.21,2.47,794.0,95.1,2019
Pamekasan,880.0,1.11,2.22,1111.0,94.6,2019
Sumenep,1089.0,0.48,2.74,545.0,90.7,2019
Kota Kediri,287.0,0.75,0.72,4533.0,99.5,2019
Kota Blitar,142.0,0.8,0.36,4356.0,98.4,2019
Kota Malang,871.0,0.66,2.19,5993.0,97.3,2019
Kota Probolinggo,237.0,0.98,0.6,4186.0,97.0,2019
Kota Pasuruan,200.0,0.81,0.5,5679.0,98.4,2019
Kota Mojokerto,129.0,0.78,0.32,7833.0,96.9,2019
Kota Madiun,177.0,0.38,0.45,5218.0,93.7,2019
Kota Surabaya,2896.0,0.51,7.3,8262.0,97.7,2019
Kota Batu,207.0,0.96,0.52,1517.0,101.3,2019
Keterangan,,,,,,2019
Pacitan,586.1,0.78,1.44,422.0,100.5,2020
Ponorogo,949.3,1.01,2.33,727.0,99.8,2020
Trenggalek,731.1,0.78,1.8,637.0,101.0,2020
Tulungagung,1089.8,0.93,2.68,1032.0,100.1,2020
Blitar,1223.7,0.89,3.01,916.0,101.5,2020
Kediri,1635.3,0.84,4.02,1180.0,102.0,2020
Malang,2654.4,0.79,6.53,752.0,101.6,2020
Lumajang,1119.3,1.03,2.75,625.0,97.9,2020
Jember,2536.7,0.81,6.24,820.0,99.5,2020
Banyuwangi,1708.1,0.91,4.2,295.0,100.3,2020
Bondowoso,776.2,0.51,1.91,509.0,97.0,2020
Situbondo,686.0,0.56,1.69,411.0,96.4,2020
Probolinggo,1152.5,0.49,2.83,679.0,97.4,2020
Pasuruan,1606.0,0.58,3.95,1090.0,100.2,2020
Sidoarjo,2082.8,0.68,5.12,3283.0,101.4,2020
Mojokerto,1119.2,0.85,2.75,1559.0,101.2,2020
Jombang,1318.1,0.89,3.24,1182.0,101.7,2020
Nganjuk,1103.9,0.8,2.71,902.0,101.2,2020
Madiun,744.4,1.14,1.83,717.0,98.3,2020
Magetan,670.8,0.76,1.65,974.0,96.8,2020
Ngawi,870.1,0.6,2.14,671.0,98.6,2020
Bojonegoro,1301.6,0.71,3.2,592.0,100.9,2020
Tuban,1198.0,0.67,2.95,653.0,99.8,2020
Lamongan,1344.2,1.28,3.31,754.0,100.2,2020
Gresik,1311.2,1.05,3.22,1101.0,101.4,2020
Bangkalan,1060.4,1.53,2.61,1059.0,97.2,2020
Sampang,969.7,0.97,2.38,786.0,98.7,2020
Pamekasan,850.1,0.64,2.09,1073.0,96.3,2020
Sumenep,1124.4,0.74,2.77,563.0,93.3,2020
Kota Kediri,286.8,0.64,0.71,4524.0,100.3,2020
Kota Blitar,149.1,1.19,0.37,4579.0,99.0,2020
Kota Malang,843.8,0.27,2.07,5808.0,99.1,2020
Kota Probolinggo,239.6,0.96,0.59,4229.0,98.4,2020
Kota Pasuruan,208.0,1.07,0.51,5894.0,100.1,2020
Kota Mojokerto,132.4,0.94,0.33,6553.0,98.4,2020
Kota Madiun,195.2,1.29,0.48,5754.0,95.7,2020
Kota Surabaya,2874.3,0.37,7.07,8200.0,98.3,2020
Kota Batu,213.0,1.1,0.52,1558.0,101.5,2020
Keterangan,,,,,,2020
Pacitan,589.1,0.68,1.44,424.0,100.4,2021
Ponorogo,955.8,0.92,2.34,732.0,99.8,2021
Trenggalek,734.9,0.69,1.8,641.0,101.0,2021
Tulungagung,1096.6,0.83,2.68,1039.0,100.1,2021
Blitar,1231.0,0.79,3.01,921.0,101.5,2021
Kediri,1644.4,0.74,4.02,1186.0,102.0,2021
Malang,2668.3,0.7,6.53,756.0,101.6,2021
Lumajang,1127.1,0.94,2.76,629.0,97.8,2021
Jember,2550.4,0.72,6.24,825.0,99.4,2021
Banyuwangi,1718.5,0.81,4.2,297.0,100.2,2021
Bondowoso,778.5,0.41,1.9,510.0,97.0,2021
Situbondo,688.3,0.46,1.68,412.0,96.4,2021
Probolinggo,1155.9,0.39,2.83,681.0,97.4,2021
Pasuruan,1611.8,0.48,3.94,1093.0,100.1,2021
Sidoarjo,2091.9,0.58,5.12,3298.0,101.4,2021
Mojokerto,1125.5,0.75,2.75,1568.0,101.2,2021
Jombang,1325.9,0.8,3.24,1189.0,101.7,2021
Nganjuk,1109.7,0.7,2.71,906.0,101.2,2021
Madiun,750.1,1.04,1.84,723.0,98.2,2021
Magetan,674.1,0.66,1.65,979.0,96.8,2021
Ngawi,873.3,0.5,2.14,674.0,98.6,2021
Bojonegoro,1307.6,0.61,3.2,595.0,100.8,2021
Tuban,1203.1,0.57,2.94,656.0,99.7,2021
Lamongan,1356.0,1.18,3.32,761.0,100.1,2021
Gresik,1320.6,0.95,3.23,1109.0,101.4,2021
Bangkalan,1071.7,1.43,2.62,1070.0,97.2,2021
Sampang,976.0,0.87,2.39,792.0,98.7,2021
Pamekasan,853.5,0.54,2.09,1077.0,96.2,2021
Sumenep,1129.8,0.64,2.76,565.0,93.3,2021
Kota Kediri,288.0,0.54,0.7,4542.0,100.3,2021
Kota Blitar,150.4,1.09,0.37,4617.0,99.0,2021
Kota Malang,844.9,0.18,2.07,5816.0,99.0,2021
Kota Probolinggo,241.2,0.86,0.59,4256.0,98.3,2021
Kota Pasuruan,209.5,0.98,0.51,5937.0,100.0,2021
Kota Mojokerto,133.3,0.84,0.33,6594.0,98.4,2021
Kota Madiun,196.9,1.19,0.48,5805.0,95.7,2021
Kota Surabaya,2880.3,0.28,7.05,8217.0,98.3,2021
Kota Batu,214.7,1.01,0.53,1570.0,101.4,2021
Keterangan,,,,,,2021
Pacitan,588.0,0.12,1.42,410.0,100.8,2023
Ponorogo,959.5,0.39,2.31,676.0,99.4,2023
Trenggalek,741.2,0.5,1.78,593.0,100.6,2023
Tulungagung,1107.8,0.6,2.67,968.0,100.1,2023
Blitar,1253.6,0.88,3.02,718.0,101.2,2023
Kediri,1677.2,0.92,4.04,1101.0,101.9,2023
Malang,2715.6,0.83,6.54,782.0,101.2,2023
Lumajang,1139.1,0.64,2.74,634.0,97.8,2023
Jember,2586.8,0.71,6.23,781.0,99.3,2023
Banyuwangi,1743.9,0.76,4.2,485.0,100.1,2023
Bondowoso,788.2,0.56,1.9,507.0,97.2,2023
Situbondo,697.0,0.58,1.68,421.0,96.6,2023
Probolinggo,1176.9,0.77,2.83,682.0,97.5,2023
Pasuruan,1644.5,0.86,3.96,1101.0,100.1,2023
Sidoarjo,2148.7,1.14,5.17,2968.0,101.1,2023
Mojokerto,1145.5,0.85,2.76,1163.0,101.1,2023
Jombang,1351.3,0.91,3.25,1218.0,101.6,2023
Nganjuk,1124.7,0.68,2.71,872.0,101.1,2023
Madiun,754.5,0.49,1.82,678.0,98.0,2023
Magetan,681.7,0.59,1.64,965.0,96.8,2023
Ngawi,880.7,0.44,2.12,631.0,98.3,2023
Bojonegoro,1319.6,0.5,3.18,571.0,100.7,2023
Tuban,1218.6,0.62,2.93,617.0,99.7,2023
Lamongan,1369.5,0.68,3.3,781.0,100.1,2023
Gresik,1350.4,1.08,3.25,1075.0,101.4,2023
Bangkalan,1091.8,1.07,2.63,839.0,97.6,2023
Sampang,1004.5,1.29,2.42,818.0,98.9,2023
Pamekasan,875.8,1.09,2.11,1101.0,96.7,2023
Sumenep,1146.6,0.71,2.76,550.0,94.0,2023
Kota Kediri,295.2,2.94,0.71,4391.0,100.5,2023
Kota Blitar,153.4,2.86,0.37,4619.0,98.6,2023
Kota Malang,865.3,2.55,2.08,7790.0,98.9,2023
Kota Probolinggo,247.0,3.08,0.59,4517.0,98.5,2023
Kota Pasuruan,216.4,4.04,0.52,5549.0,100.1,2023
Kota Mojokerto,136.1,2.8,0.33,6732.0,98.3,2023
Kota Madiun,200.0,2.45,0.48,5536.0,95.9,2023
Kota Surabaya,2911.4,1.29,7.01,8667.0,98.1,2023
Kota Batu,220.2,3.38,0.53,1134.0,101.3,2023
Keterangan,,,,,,2023
Pacitan,588.6,0.11,1.41,411.0,100.8,2024
Ponorogo,962.9,0.38,2.3,679.0,99.3,2024
Trenggalek,744.5,0.49,1.78,596.0,100.5,2024
Tulungagung,1113.9,0.58,2.66,973.0,100.1,2024
Blitar,1263.7,0.86,3.02,724.0,101.1,2024
Kediri,1689.9,0.88,4.04,1109.0,101.9,2024
Malang,2736.0,0.81,6.54,788.0,101.1,2024
Lumajang,1145.9,0.63,2.74,638.0,97.8,2024
Jember,2603.8,0.7,6.23,786.0,99.3,2024
Banyuwangi,1754.4,0.72,4.2,488.0,100.0,2024
Bondowoso,792.3,0.55,1.89,510.0,97.3,2024
Situbondo,700.7,0.57,1.68,424.0,96.6,2024
Probolinggo,1185.2,0.75,2.83,687.0,97.4,2024
Pasuruan,1657.2,0.84,3.96,1110.0,100.1,2024
Sidoarjo,2171.5,1.12,5.19,2999.0,101.0,2024
Mojokerto,1154.3,0.83,2.76,1172.0,101.1,2024
Jombang,1362.7,0.89,3.26,1228.0,101.6,2024
Nganjuk,1131.8,0.67,2.71,878.0,101.0,2024
Madiun,757.8,0.48,1.81,681.0,97.9,2024
Magetan,685.5,0.58,1.64,970.0,96.8,2024
Ngawi,884.1,0.43,2.11,633.0,98.1,2024
Bojonegoro,1325.3,0.48,3.17,573.0,100.6,2024
Tuban,1225.2,0.6,2.93,621.0,99.7,2024
Lamongan,1378.2,0.67,3.3,786.0,100.0,2024
Gresik,1364.0,1.06,3.26,1086.0,101.4,2024
Bangkalan,1102.5,1.04,2.64,847.0,97.7,2024
Sampang,1016.3,1.26,2.43,827.0,98.8,2024
