Kabupaten_Kota,TPT,Tahun
Kabupaten Pacitan,0.85,2017
Kabupaten Ponorogo,3.76,2017
Kabupaten Trenggalek,3.48,2017
Kabupaten Tulungagung,2.27,2017
Kabupaten Blitar,2.99,2017
Kabupaten Kediri,3.18,2017
Kabupaten Malang,4.6,2017
Kabupaten Lumajang,2.91,2017
Kabupaten Jember,5.16,2017
Kabupaten Banyuwangi,3.07,2017
Kabupaten Bondowoso,2.09,2017
Kabupaten Situbondo,1.49,2017
Kabupaten Probolinggo,2.89,2017
Kabupaten Pasuruan,4.97,2017
Kabupaten Sidoarjo,4.97,2017
Kabupaten Mojokerto,5.0,2017
Kabupaten Jombang,5.14,2017
Kabupaten Nganjuk,3.23,2017
Kabupaten Madiun,3.19,2017
Kabupaten Magetan,3.8,2017
Kabupaten Ngawi,5.76,2017
Kabupaten Bojonegoro,3.64,2017
Kabupaten Tuban,3.39,2017
Kabupaten Lamongan,4.12,2017
Kabupaten Gresik,4.54,2017
Kabupaten Bangkalan,4.48,2017
Kabupaten Sampang,2.48,2017
Kabupaten Pamekasan,3.91,2017
Kabupaten Sumenep,1.83,2017
Kota Kediri,4.68,2017
Kota Blitar,3.76,2017
Kota Malang,7.22,2017
Kota Probolinggo,3.42,2017
Kota Pasuruan,4.64,2017
Kota Mojokerto,3.61,2017
Kota Madiun,4.26,2017
Kota Surabaya,5.98,2017
Kota Batu,2.26,2017
Jawa Timur,4.0,2017
Kabupaten Pacitan,1.39,2018
Kabupaten Ponorogo,3.77,2018
Kabupaten Trenggalek,4.12,2018
Kabupaten Tulungagung,2.53,2018
Kabupaten Blitar,3.38,2018
Kabupaten Kediri,4.15,2018
Kabupaten Malang,3.15,2018
Kabupaten Lumajang,2.46,2018
Kabupaten Jember,4.01,2018
Kabupaten Banyuwangi,3.59,2018
Kabupaten Bondowoso,3.84,2018
Kabupaten Situbondo,1.85,2018
Kabupaten Probolinggo,4.0,2018
Kabupaten Pasuruan,5.94,2018
Kabupaten Sidoarjo,4.62,2018
Kabupaten Mojokerto,4.21,2018
Kabupaten Jombang,4.56,2018
Kabupaten Nganjuk,2.6,2018
Kabupaten Madiun,3.71,2018
Kabupaten Magetan,3.82,2018
Kabupaten Ngawi,3.75,2018
Kabupaten Bojonegoro,4.11,2018
Kabupaten Tuban,2.76,2018
Kabupaten Lamongan,3.1,2018
Kabupaten Gresik,5.71,2018
Kabupaten Bangkalan,5.09,2018
Kabupaten Sampang,2.38,2018
Kabupaten Pamekasan,2.88,2018
Kabupaten Sumenep,1.75,2018
