kode_wilayah,ipm,tahun
3503,68.1,2017
3504,71.24,2017
3505,69.33,2017
3506,70.47,2017
3507,68.47,2017
3508,64.23,2017
3509,64.96,2017
3510,69.64,2017
3511,64.75,2017
3512,65.68,2017
3513,64.28,2017
3514,66.69,2017
3515,78.7,2017
3516,72.36,2017
3517,70.88,2017
3518,70.69,2017
3519,70.27,2017
3520,72.6,2017
3521,69.27,2017
3522,67.28,2017
3523,66.77,2017
3524,71.11,2017
3525,74.84,2017
3526,62.3,2017
3527,59.9,2017
3528,64.93,2017
3529,64.28,2017
3571,77.13,2017
3572,77.1,2017
3573,80.65,2017
3574,72.09,2017
3575,74.39,2017
3576,76.77,2017
3577,80.13,2017
3578,81.07,2017
3579,74.26,2017
3503,68.71,2018
3504,71.99,2018
3505,69.93,2018
3506,71.07,2018
3507,69.4,2018
3508,64.83,2018
3509,65.96,2018
3510,70.06,2018
3511,65.27,2018
3512,66.42,2018
3513,64.85,2018
3514,67.41,2018
3515,79.5,2018
3516,72.64,2018
3517,71.86,2018
3518,71.23,2018
3519,71.01,2018
3520,72.91,2018
3521,69.91,2018
3522,67.85,2018
3523,67.43,2018
3524,71.97,2018
3525,75.28,2018
3526,62.87,2018
3527,61.0,2018
3528,65.41,2018
3529,65.25,2018
3571,77.58,2018
3572,77.58,2018
3573,80.89,2018
3574,72.53,2018
3575,74.78,2018
3576,77.14,2018
3577,80.33,2018
3578,81.74,2018
3579,75.04,2018
3503,69.46,2019
3504,72.62,2019
3505,70.57,2019
3506,71.85,2019
3507,70.35,2019
3508,65.33,2019
3509,66.69,2019
3510,70.6,2019
3511,66.09,2019
3512,67.09,2019
3513,65.6,2019
3514,68.29,2019
3515,80.05,2019
3516,73.53,2019
3517,72.85,2019
3518,71.71,2019
3519,71.69,2019
3520,73.49,2019
3521,70.41,2019
3522,68.75,2019
3523,68.37,2019
3524,72.57,2019
3525,76.1,2019
3526,63.79,2019
3527,61.94,2019
3528,65.94,2019
3529,66.22,2019
3571,78.08,2019
3572,78.56,2019
3573,81.32,2019
3574,73.27,2019
3575,75.25,2019
3576,77.96,2019
3577,80.88,2019
3578,82.22,2019
3579,75.88,2019
3503,70.1,2020
3504,73.15,2020
3505,71.02,2020
3506,72.8,2020
3507,71.24,2020
3508,67.04,2020
3509,69.01,2020
3510,71.85,2020
3511,69.1,2020
3512,68.94,2020
3513,68.77,2020
3514,70.2,2020
3515,80.65,2020
3516,74.58,2020
3517,73.63,2020
3518,72.78,2020
3519,72.94,2020
3520,74.85,2020
3521,71.49,2020
3522,70.18,2020
3523,69.6,2020
3524,73.44,2020
3525,76.59,2020
3526,65.17,2020
3527,64.75,2020
3528,68.65,2020
3529,67.15,2020
3571,78.78,2020
