kode_wilayah,jumlah_penduduk_miskin,tahun
3501,85.26,2017
3502,99.03,2017
3503,89.77,2017
3504,82.8,2017
3505,112.93,2017
3506,191.08,2017
3507,283.96,2017
3508,112.65,2017
3509,266.9,2017
3510,138.54,2017
3511,111.66,2017
3512,88.23,2017
3513,236.72,2017
3514,165.64,2017
3515,135.42,2017
3516,111.79,2017
3517,131.16,2017
3518,125.52,2017
3519,83.43,2017
3520,65.87,2017
3521,123.76,2017
3522,178.25,2017
3523,196.1,2017
3524,171.38,2017
3525,164.08,2017
3526,206.53,2017
3527,225.13,2017
3528,137.77,2017
3529,211.92,2017
3571,24.07,2017
3572,11.22,2017
3573,35.88,2017
3574,18.23,2017
3575,14.85,2017
3576,7.28,2017
3577,8.7,2017
3578,154.71,2017
3579,8.77,2017
3501,78.64,2018
3502,90.22,2018
3503,83.5,2018
3504,75.23,2018
3505,112.4,2018
3506,177.2,2018
3507,268.49,2018
3508,103.69,2018
3509,243.42,2018
3510,125.5,2018
3511,110.98,2018
3512,80.27,2018
3513,217.06,2018
3514,152.48,2018
3515,125.75,2018
3516,111.55,2018
3517,120.19,2018
3518,127.28,2018
3519,77.75,2018
3520,64.86,2018
3521,123.09,2018
3522,163.94,2018
3523,178.64,2018
3524,164.0,2018
3525,154.02,2018
3526,191.33,2018
3527,204.82,2018
3528,125.76,2018
3529,218.6,2018
3571,21.9,2018
3572,10.47,2018
3573,35.49,2018
3574,16.9,2018
3575,13.45,2018
3576,7.04,2018
3577,7.92,2018
3578,140.81,2018
3579,7.98,2018
3501,75.86,2019
3502,83.97,2019
3503,76.44,2019
3504,70.01,2019
3505,103.75,2019
3506,163.95,2019
3507,246.6,2019
3508,98.88,2019
3509,226.57,2019
3510,121.37,2019
3511,103.33,2019
3512,76.44,2019
3513,207.22,2019
3514,141.09,2019
3515,119.29,2019
3516,108.81,2019
3517,116.44,2019
3518,118.51,2019
3519,71.91,2019
3520,60.43,2019
3521,119.43,2019
3522,154.64,2019
3523,170.8,2019
3524,157.11,2019
3525,148.61,2019
3526,186.11,2019
3527,202.21,2019
3528,122.43,2019
3529,211.98,2019
3571,20.54,2019
3572,10.1,2019
3573,35.39,2019
3574,16.37,2019
3575,12.92,2019
3576,6.63,2019
3577,7.69,2019
3578,130.55,2019
3579,7.89,2019
3501,80.82,2020
3502,86.74,2020
3503,81.06,2020
3504,76.4,2020
3505,108.55,2020
3506,179.93,2020
3507,265.56,2020
3508,102.6,2020
3509,247.99,2020
3510,130.37,2020
3511,110.24,2020
3512,83.74,2020
3513,218.35,2020
3514,151.43,2020
3515,127.05,2020
3516,118.8,2020
3517,125.94,2020
3518,122.73,2020
3519,78.3,2020
3520,65.09,2020
3521,128.19,2020
3522,161.1,2020
3523,187.13,2020
3524,164.68,2020
3525,164.05,2020
3526,204.0,2020
3527,224.74,2020
3528,129.41,2020
3529,220.23,2020
3571,22.19,2020
3572,11.1,2020
3573,38.77,2020
3574,17.72,2020
3575,13.4,2020
3576,8.09,2020
3577,8.83,2020
3578,145.67,2020
3579,8.12,2020
3501,84.19,2021
3502,89.94,2021
3503,84.89,2021
3504,78.59,2021
3505,112.62,2021
3506,184.49,2021
3507,276.58,2021
3508,105.25,2021
3509,257.09,2021
3510,130.93,2021
3511,115.18,2021
3512,86.95,2021
3513,223.32,2021
3514,159.78,2021
3515,137.15,2021
3516,120.54,2021
3517,127.3,2021
3518,125.53,2021
3519,81.61,2021
3520,67.75,2021
3521,130.81,2021
3522,166.52,2021
3523,192.58,2021
3524,166.82,2021
3525,166.35,2021
3526,215.97,2021
3527,237.23,2021
3528,137.12,2021
3529,224.73,2021
3571,22.55,2021
3572,11.33,2021
3573,40.62,2021
3574,17.91,2021
3575,13.97,2021
3576,8.37,2021
3577,9.06,2021
3578,152.49,2021
3579,8.63,2021
3501,76.93,2022
3502,81.8,2022
3503,76.75,2022
3504,70.52,2022
3505,101.94,2022
3506,169.46,2022
3507,252.88,2022
3508,95.04,2022
3509,232.73,2022
3510,122.01,2022
3511,105.69,2022
3512,81.46,2022
3513,203.23,2022
3514,148.62,2022
3515,125.69,2022
3516,111.03,2022
3517,115.48,2022
3518,113.63,2022
3519,74.07,2022
3520,62.65,2022
3521,119.02,2022
3522,153.4,2022
3523,178.05,2022
3524,151.08,2022
3525,149.64,2022
3526,196.11,2022
3527,217.97,2022
3528,126.02,2022
3529,206.2,2022
3571,21.15,2022
3572,10.65,2022
3573,38.56,2022
3574,16.16,2022
