kode_wilayah,tpt,tahun
3501,0.85,2017
3502,3.76,2017
3503,3.48,2017
3504,2.27,2017
3505,2.99,2017
3506,3.18,2017
3507,4.6,2017
3508,2.91,2017
3509,5.16,2017
3510,3.07,2017
3511,2.09,2017
3512,1.49,2017
3513,2.89,2017
3514,4.97,2017
3515,4.97,2017
3516,5.0,2017
3517,5.14,2017
3518,3.23,2017
3519,3.19,2017
3520,3.8,2017
3521,5.76,2017
3522,3.64,2017
3523,3.39,2017
3524,4.12,2017
3525,4.54,2017
3526,4.48,2017
3527,2.48,2017
3528,3.91,2017
3529,1.83,2017
3571,4.68,2017
3572,3.76,2017
3573,7.22,2017
3574,3.42,2017
3575,4.64,2017
3576,3.61,2017
3577,4.26,2017
3578,5.98,2017
3579,2.26,2017
3501,1.39,2018
3502,3.77,2018
3503,4.12,2018
3504,2.53,2018
3505,3.38,2018
3506,4.15,2018
3507,3.15,2018
3508,2.46,2018
3509,4.01,2018
3510,3.59,2018
3511,3.84,2018
3512,1.85,2018
3513,4.0,2018
3514,5.94,2018
3515,4.62,2018
3516,4.21,2018
3517,4.56,2018
3518,2.6,2018
3519,3.71,2018
3520,3.82,2018
3521,3.75,2018
3522,4.11,2018
3523,2.76,2018
3524,3.1,2018
3525,5.71,2018
3526,5.09,2018
3527,2.38,2018
3528,2.88,2018
3529,1.75,2018
3571,3.56,2018
3572,3.98,2018
3573,6.65,2018
3574,3.56,2018
3575,4.5,2018
3576,2.44,2018
3577,3.8,2018
3578,6.01,2018
3579,3.07,2018
3501,0.91,2019
3502,3.5,2019
3503,3.36,2019
3504,3.29,2019
3505,3.05,2019
3506,3.58,2019
3507,3.7,2019
3508,2.73,2019
3509,3.69,2019
3510,3.95,2019
3511,2.86,2019
3512,2.77,2019
3513,3.77,2019
3514,5.22,2019
3515,4.62,2019
3516,3.61,2019
3517,4.28,2019
3518,3.16,2019
3519,3.52,2019
3520,2.98,2019
3521,3.6,2019
3522,3.56,2019
3523,2.7,2019
3524,3.89,2019
3525,5.4,2019
3526,5.62,2019
3527,2.71,2019
3528,2.26,2019
3529,2.08,2019
3571,4.15,2019
3572,4.54,2019
3573,5.88,2019
3574,4.25,2019
3575,4.89,2019
3576,2.63,2019
3577,3.96,2019
3578,5.76,2019
3579,2.42,2019
3501,2.28,2020
3502,4.45,2020
3503,4.11,2020
3504,4.61,2020
3505,3.82,2020
3506,5.24,2020
3507,5.49,2020
3508,3.36,2020
3509,5.12,2020
3510,5.34,2020
3511,4.13,2020
3512,3.85,2020
3513,4.86,2020
3514,6.24,2020
3515,10.97,2020
3516,5.75,2020
3517,7.48,2020
3518,4.8,2020
3519,4.8,2020
3520,3.74,2020
3521,5.44,2020
3522,4.92,2020
3523,4.81,2020
3524,5.13,2020
3525,8.21,2020
3526,8.77,2020
3527,3.35,2020
3528,3.49,2020
3529,2.84,2020
3571,6.21,2020
3572,6.68,2020
3573,9.61,2020
3574,6.7,2020
3575,6.33,2020
3576,6.74,2020
3577,8.32,2020
3578,9.79,2020
3579,5.93,2020
3501,2.04,2021
3502,4.38,2021
3503,3.53,2021
3504,4.91,2021
3505,3.66,2021
3506,5.15,2021
3507,5.4,2021
3508,3.51,2021
3509,5.44,2021
3510,5.42,2021
3511,4.46,2021
3512,3.68,2021
3513,4.55,2021
3514,6.03,2021
3515,10.87,2021
3516,5.54,2021
3517,7.09,2021
3518,4.98,2021
3519,4.99,2021
3520,3.86,2021
3521,4.25,2021
3522,4.82,2021
3523,4.68,2021
3524,4.9,2021
3525,8.0,2021
3526,8.07,2021
3527,3.45,2021
3528,3.1,2021
3529,2.31,2021
3571,6.37,2021
3572,6.61,2021
3573,9.65,2021
3574,6.55,2021
3575,6.23,2021
3576,6.87,2021
3577,8.15,2021
3578,9.68,2021
3579,6.57,2021
3501,3.65,2022
3502,5.51,2022
3503,5.37,2022
3504,6.65,2022
3505,5.45,2022
3506,6.83,2022
3507,6.57,2022
3508,4.97,2022
3509,4.06,2022
3510,5.26,2022
3511,4.32,2022
3512,3.38,2022
3513,3.25,2022
3514,5.91,2022
3515,8.8,2022
3516,4.83,2022
3517,5.47,2022
3518,4.74,2022
3519,5.84,2022
3520,4.33,2022
3521,2.48,2022
3522,4.69,2022
3523,4.54,2022
3524,6.05,2022
3525,7.84,2022
3526,8.05,2022
3527,3.11,2022
3528,1.4,2022
3529,1.36,2022
3571,4.38,2022
3572,5.39,2022
3573,7.66,2022
3574,4.57,2022
3575,6.18,2022
3576,5.05,2022
3577,6.39,2022
3578,7.62,2022
3579,8.43,2022
3501,1.83,2023
3502,4.66,2023
3503,4.52,2023
3504,5.65,2023
3505,4.91,2023
3506,5.79,2023
3507,5.7,2023
3508,3.67,2023
3509,4.01,2023
3510,4.75,2023
3511,4.15,2023
3512,3.27,2023
3513,3.24,2023
3514,5.48,2023
3515,8.05,2023
3516,4.67,2023
3517,4.66,2023
3518,4.68,2023
3519,5.14,2023
3520,4.16,2023
3521,2.41,2023
3522,4.63,2023
3523,4.4,2023
3524,5.46,2023
3525,6.82,2023
3526,6.18,2023
3527,2.72,2023
3528,1.74,2023
3529,1.71,2023
3571,4.06,2023
3572,5.24,2023
3573,6.8,2023
3574,4.53,2023
3575,5.64,2023
3576,4.73,2023
3577,5.85,2023
3578,6.76,2023
3579,4.52,2023
3501,1.56,2024
3502,4.19,2024
3503,3.9,2024
3504,4.12,2024
3505,4.77,2024
3506,5.1,2024
3507,5.13,2024
3508,3.28,2024
3509,3.23,2024
3510,4.03,2024
3511,3.63,2024
3512,3.15,2024
3513,3.0,2024
3514,5.02,2024
3515,6.49,2024
3516,3.87,2024
3517,3.75,2024
3518,3.87,2024
3519,4.34,2024
3520,3.28,2024
3521,2.4,2024
3522,4.42,2024
3523,4.28,2024
3524,4.34,2024
3525,6.45,2024
3526,5.35,2024
3527,2.5,2024
3528,1.64,2024
3529,1.69,2024
3571,3.91,2024
3572,5.11,2024
3573,6.1,2024
3574,4.44,2024
3575,4.63,2024
3576,3.76,2024
3577,4.3,2024
3578,4.91,2024
3579,3.63,2024
3501,1.4,2025
3502,3.85,2025
3503,3.86,2025
3504,4.03,2025
3505,4.49,2025
3506,4.71,2025
3507,5.0,2025
3508,3.08,2025
3509,3.07,2025
3510,3.94,2025
3511,2.55,2025
3512,3.02,2025
3513,2.92,2025
3514,4.22,2025
3515,5.75,2025
3516,3.49,2025
3517,3.28,2025
3518,3.84,2025
3519,3.22,2025
3520,3.26,2025
3521,2.26,2025
3522,3.9,2025
3523,3.44,2025
3524,4.29,2025
3525,5.47,2025
3526,5.31,2025
3527,2.44,2025
3528,1.33,2025
3529,1.64,2025
3571,3.76,2025
3572,4.28,2025
3573,5.69,2025
3574,4.93,2025
3575,4.59,2025
3576,4.66,2025
3577,4.29,2025
3578,4.84,2025
3579,3.53,2025
