kode_wilayah,kepadatan,semester,tahun
3501,425.29,1,2018
3501,426.6,2,2018
3501,427.91,1,2019
3501,429.19,2,2019
3501,429.75,1,2020
3501,525.19,2,2020
3501,429.9384137217,1,2021
3501,430.2391504547,2,2021
3501,418.0,1,2022
3501,417.96,2,2022
3501,418.23,1,2023
3501,417.0,2,2023
3501,414.39,1,2024
3501,414.39,2,2024
3501,414.39,1,2025
3501,0.0,2,2025
3502,735.45,1,2018
3502,736.87,2,2018
3502,740.8,1,2019
3502,743.81,2,2019
3502,746.78,1,2020
3502,748.86,2,2020
3502,741.8863444895,1,2021
3502,742.4798958413,2,2021
3502,684.0,1,2022
3502,684.11,2,2022
3502,686.07,1,2023
3502,688.0,2,2023
3502,689.21,1,2024
3502,689.21,2,2024
3502,689.21,1,2025
3502,0.0,2,2025
3503,651.14,1,2018
3503,652.39,2,2018
3503,653.58,1,2019
3503,653.97,2,2019
3503,655.17,1,2020
3503,657.08,2,2020
3503,650.9074109587,1,2021
3503,651.3092519307,2,2021
3503,598.0,1,2022
3503,601.23,2,2022
3503,604.65,1,2023
3503,605.0,2,2023
3503,606.33,1,2024
3503,606.33,2,2024
3503,606.33,1,2025
3503,0.0,2,2025
3504,1050.23,1,2018
3504,1051.06,2,2018
3504,1057.62,1,2019
3504,1059.83,2,2019
3504,1064.11,1,2020
3504,1067.16,2,2020
3504,1067.2846113769,1,2021
3504,1067.6047932553,2,2021
3504,985.0,1,2022
3504,985.63,2,2022
3504,989.18,1,2023
3504,991.0,2,2023
3504,993.05,1,2024
3504,993.05,2,2024
3504,993.05,1,2025
3504,0.0,2,2025
3505,918.91,1,2018
3505,920.45,2,2018
3505,928.95,1,2019
3505,932.79,2,2019
3505,936.53,1,2020
3505,934.69,2,2020
3505,919.0500419011,1,2021
3505,919.7855560876,2,2021
3505,701.0,1,2022
3505,706.62,2,2022
3505,713.13,1,2023
3505,718.0,2,2023
3505,720.68,1,2024
3505,720.68,2,2024
3505,720.68,1,2025
3505,0.0,2,2025
3506,1174.07,1,2018
3506,1188.87,2,2018
3506,1195.97,1,2019
3506,1199.46,2,2019
3506,1204.25,1,2020
3506,1207.44,2,2020
3506,1206.1765448577,1,2021
3506,1207.1411565239,2,2021
3506,1099.0,1,2022
3506,1099.36,2,2022
3506,1102.05,1,2023
3506,1106.0,2,2023
3506,1108.24,1,2024
3506,1108.24,2,2024
3506,1108.24,1,2025
3506,0.0,2,2025
3507,701.08,1,2018
3507,705.85,2,2018
3507,720.12,1,2019
3507,722.19,2,2019
3507,725.47,1,2020
3507,732.28,2,2020
3507,739.7807769108,1,2021
3507,746.5905711413,2,2021
3507,766.0,1,2022
3507,774.0,2,2022
3507,775.1,1,2023
3507,781.0,2,2023
3507,785.21,1,2024
3507,785.21,2,2024
3507,785.21,1,2025
3507,0.0,2,2025
3508,627.01,1,2018
3508,628.04,2,2018
3508,629.53,1,2019
3508,630.28,2,2019
3508,632.17,1,2020
3508,624.06,2,2020
3508,609.6688815679,1,2021
3508,610.1563459713,2,2021
3508,609.0,1,2022
3508,610.71,2,2022
3508,613.16,1,2023
3508,617.0,2,2023
3508,619.32,1,2024
3508,619.32,2,2024
3508,619.32,1,2025
3508,0.0,2,2025
3509,826.69,1,2018
3509,826.76,2,2018
3509,828.99,1,2019
3509,830.72,2,2019
3509,832.5,1,2020
3509,833.98,2,2020
3509,834.8001836797,1,2021
3509,835.1840353907,2,2021
3509,780.0,1,2022
3509,780.24,2,2022
3509,781.75,1,2023
3509,785.0,2,2023
3509,786.47,1,2024
3509,786.47,2,2024
3509,786.47,1,2025
3509,0.0,2,2025
3510,299.65,1,2018
3510,299.71,2,2018
3510,301.89,1,2019
3510,302.24,2,2019
3510,302.8,1,2020
3510,303.46,2,2020
3510,302.6032443276,1,2021
3510,302.7770475927,2,2021
3510,488.0,1,2022
3510,490.44,2,2022
3510,492.43,1,2023
3510,495.0,2,2023
3510,496.9,1,2024
3510,496.9,2,2024
3510,496.9,1,2025
3510,0.0,2,2025
3511,518.72,1,2018
3511,519.85,2,2018
3511,521.73,1,2019
3511,522.68,2,2019
3511,524.25,1,2020
3511,429.86,2,2020
3511,525.2665517671,1,2021
3511,525.6341867796,2,2021
3511,516.0,1,2022
3511,516.31,2,2022
3511,518.28,1,2023
3511,512.0,2,2023
3511,504.54,1,2024
3511,504.54,2,2024
3511,504.54,1,2025
3511,0.0,2,2025
3512,411.15,1,2018
3512,411.36,2,2018
3512,413.14,1,2019
3512,414.18,2,2019
3512,415.11,1,2020
3512,415.74,2,2020
3512,398.9801601322,1,2021
3512,399.2041296628,2,2021
3512,403.0,1,2022
3512,407.06,2,2022
3512,410.27,1,2023
3512,414.0,2,2023
3512,416.35,1,2024
3512,416.35,2,2024
3512,416.35,1,2025
3512,0.0,2,2025
3513,659.89,1,2018
3513,663.24,2,2018
3513,669.97,1,2019
3513,671.1,2,2019
3513,673.8,1,2020
3513,675.7,2,2020
