kode_wilayah,nama_wilayah,tipe_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_bps,rasio_jenis_kelamin,tahun,jumlah_penduduk_miskin,tpt,ipm,kepadatan_sipil_smt1,kepadatan_sipil_smt2,kepadatan_sipil_tahunan
3501,Pacitan,Kabupaten,554.0,0.31,1.06,399.0,95.4,2018,78.64,1.39,67.33,425.29,426.6,425.94500000000005
3501,Pacitan,Kabupaten,555.0,0.29,1.4,400.0,95.4,2019,75.86,0.91,68.16,427.91,429.19,428.55
3501,Pacitan,Kabupaten,586.1,0.78,1.44,422.0,100.5,2020,80.82,2.28,68.39,429.75,525.19,477.47
3501,Pacitan,Kabupaten,589.1,0.68,1.44,424.0,100.4,2021,84.19,2.04,69.45,429.9384137217,430.2391504547,430.0887820882
3501,Pacitan,Kabupaten,592.9,0.66,1.44,414.0,100.4,2022,76.93,3.65,70.59,418.0,417.96,417.98
3501,Pacitan,Kabupaten,588.0,0.12,1.42,410.0,100.8,2023,76.2,1.83,70.84,418.23,417.0,417.615
3501,Pacitan,Kabupaten,588.6,0.11,1.41,411.0,100.8,2024,73.03,1.56,71.49,414.39,414.39,414.39
3501,Pacitan,Kabupaten,589034.0,0.1,1.4,411.0,100.9,2025,72.47,1.4,71.9,414.39,0.0,414.39
3502,Ponorogo,Kabupaten,871.0,0.22,1.78,667.0,99.9,2018,90.22,3.77,69.91,735.45,736.87,736.1600000000001
3502,Ponorogo,Kabupaten,871.0,0.21,2.19,667.0,100.0,2019,83.97,3.5,70.56,740.8,743.81,742.305
3502,Ponorogo,Kabupaten,949.3,1.01,2.33,727.0,99.8,2020,86.74,4.45,70.81,746.78,748.86,747.8199999999999
3502,Ponorogo,Kabupaten,955.8,0.92,2.34,732.0,99.8,2021,89.94,4.38,70.93,741.8863444895,742.4798958413,742.1831201653999
3502,Ponorogo,Kabupaten,964.3,0.9,2.34,680.0,99.8,2022,81.8,5.51,71.71,684.0,684.11,684.0550000000001
3502,Ponorogo,Kabupaten,959.5,0.39,2.31,676.0,99.4,2023,83.71,4.66,71.98,686.07,688.0,687.0350000000001
3502,Ponorogo,Kabupaten,962.9,0.38,2.3,679.0,99.3,2024,80.05,4.19,72.4,689.21,689.21,689.21
3502,Ponorogo,Kabupaten,966111.0,0.37,2.3,681.0,99.1,2025,77.93,3.85,72.8,689.21,0.0,689.21
