kode_wilayah,nama_wilayah,tipe_wilayah
3501,Pacitan,Kabupaten
3502,Ponorogo,Kabupaten
3503,Trenggalek,Kabupaten
3504,Tulungagung,Kabupaten
3505,Blitar,Kabupaten
3506,Kediri,Kabupaten
3507,Malang,Kabupaten
3508,Lumajang,Kabupaten
3509,Jember,Kabupaten
3510,Banyuwangi,Kabupaten
3511,Bondowoso,Kabupaten
3512,Situbondo,Kabupaten
3513,Probolinggo,Kabupaten
3514,Pasuruan,Kabupaten
3515,Sidoarjo,Kabupaten
3516,Mojokerto,Kabupaten
3517,Jombang,Kabupaten
3518,Nganjuk,Kabupaten
3519,Madiun,Kabupaten
3520,Magetan,Kabupaten
3521,Ngawi,Kabupaten
3522,Bojonegoro,Kabupaten
3523,Tuban,Kabupaten
3524,Lamongan,Kabupaten
3525,Gresik,Kabupaten
3526,Bangkalan,Kabupaten
3527,Sampang,Kabupaten
3528,Pamekasan,Kabupaten
3529,Sumenep,Kabupaten
3571,Kota Kediri,Kota
3572,Kota Blitar,Kota
3573,Kota Malang,Kota
3574,Kota Probolinggo,Kota
3575,Kota Pasuruan,Kota
3576,Kota Mojokerto,Kota
3577,Kota Madiun,Kota
3578,Kota Surabaya,Kota
3579,Kota Batu,Kota
